id,source_unique_tokens,source_word_count,source_line_count,mean_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_neighborhood_crps,add_count_marginal_minus_neighborhood_crps,add_count_marginal_lower_80,add_count_marginal_upper_80,add_count_marginal_covered_80,add_count_marginal_width_80,add_count_marginal_interval_score_80,add_count_neighborhood_lower_80,add_count_neighborhood_upper_80,add_count_neighborhood_covered_80,add_count_neighborhood_width_80,add_count_neighborhood_interval_score_80,add_count_marginal_minus_neighborhood_interval_score_80,delete_count_observed,delete_count_marginal_crps,delete_count_neighborhood_crps,delete_count_marginal_minus_neighborhood_crps,delete_count_marginal_lower_80,delete_count_marginal_upper_80,delete_count_marginal_covered_80,delete_count_marginal_width_80,delete_count_marginal_interval_score_80,delete_count_neighborhood_lower_80,delete_count_neighborhood_upper_80,delete_count_neighborhood_covered_80,delete_count_neighborhood_width_80,delete_count_neighborhood_interval_score_80,delete_count_marginal_minus_neighborhood_interval_score_80,word_count_observed,word_count_marginal_crps,word_count_neighborhood_crps,word_count_marginal_minus_neighborhood_crps,word_count_marginal_lower_80,word_count_marginal_upper_80,word_count_marginal_covered_80,word_count_marginal_width_80,word_count_marginal_interval_score_80,word_count_neighborhood_lower_80,word_count_neighborhood_upper_80,word_count_neighborhood_covered_80,word_count_neighborhood_width_80,word_count_neighborhood_interval_score_80,word_count_marginal_minus_neighborhood_interval_score_80,line_count_observed,line_count_marginal_crps,line_count_neighborhood_crps,line_count_marginal_minus_neighborhood_crps,line_count_marginal_lower_80,line_count_marginal_upper_80,line_count_marginal_covered_80,line_count_marginal_width_80,line_count_marginal_interval_score_80,line_count_neighborhood_lower_80,line_count_neighborhood_upper_80,line_count_neighborhood_covered_80,line_count_neighborhood_width_80,line_count_neighborhood_interval_score_80,line_count_marginal_minus_neighborhood_interval_score_80,source_similarity_observed,source_similarity_marginal_crps,source_similarity_neighborhood_crps,source_similarity_marginal_minus_neighborhood_crps,source_similarity_marginal_lower_80,source_similarity_marginal_upper_80,source_similarity_marginal_covered_80,source_similarity_marginal_width_80,source_similarity_marginal_interval_score_80,source_similarity_neighborhood_lower_80,source_similarity_neighborhood_upper_80,source_similarity_neighborhood_covered_80,source_similarity_neighborhood_width_80,source_similarity_neighborhood_interval_score_80,source_similarity_marginal_minus_neighborhood_interval_score_80
train_0001,57,92,21,0.188328,17.000000,10.233458,10.688338,-0.454880,13.000000,81.000000,1,68.000000,68.000000,11.000000,83.000000,1,72.000000,72.000000,-4.000000,51.000000,4.769315,4.510232,0.259083,33.891892,52.615385,1,18.723493,18.723493,33.250000,54.196721,1,20.946721,20.946721,-2.223229,62.000000,19.378722,16.096579,3.282143,0.000000,173.000000,1,173.000000,173.000000,0.000000,168.000000,1,168.000000,168.000000,5.000000,16.000000,4.017026,4.168624,-0.151598,2.000000,40.000000,1,38.000000,38.000000,11.000000,40.000000,1,29.000000,29.000000,9.000000,0.233766,0.042370,0.039913,0.002457,0.041667,0.391489,1,0.349823,0.349823,0.033333,0.377358,1,0.344025,0.344025,0.005798
train_0002,44,101,1,0.199073,21.000000,7.868700,7.074499,0.794200,13.000000,81.000000,1,68.000000,68.000000,12.000000,68.000000,1,56.000000,56.000000,12.000000,30.000000,2.108790,1.353910,0.754880,26.162162,40.615385,1,14.453222,14.453222,25.473684,39.111111,1,13.637427,13.637427,0.815796,58.000000,25.363587,24.956223,0.407365,8.000000,182.000000,1,174.000000,174.000000,33.000000,159.000000,1,126.000000,126.000000,48.000000,21.000000,14.378677,13.744089,0.634588,1.000000,20.000000,0,19.000000,29.000000,1.000000,20.000000,0,19.000000,29.000000,0.000000,0.264151,0.053792,0.040927,0.012866,0.041667,0.391489,1,0.349823,0.349823,0.078431,0.469274,1,0.390842,0.390842,-0.041020
train_0003,32,33,2,0.100038,18.000000,9.557813,8.759493,0.798320,13.000000,81.000000,1,68.000000,68.000000,16.000000,80.000000,1,64.000000,64.000000,4.000000,27.000000,1.718248,1.502879,0.215370,19.027027,29.538462,1,10.511435,10.511435,18.666667,30.638298,1,11.971631,11.971631,-1.460197,37.000000,12.142471,12.555684,-0.413213,0.000000,114.000000,1,114.000000,114.000000,0.000000,121.000000,1,121.000000,121.000000,-7.000000,1.000000,1.086483,1.111260,-0.024777,1.000000,21.000000,1,20.000000,20.000000,1.000000,21.000000,1,20.000000,20.000000,0.000000,0.114286,0.044042,0.031302,0.012740,0.041667,0.391489,1,0.349823,0.349823,0.032967,0.353791,1,0.320824,0.320824,0.028999
train_0004,33,46,1,0.167982,27.000000,6.098509,5.744882,0.353627,13.000000,81.000000,1,68.000000,68.000000,11.000000,81.000000,1,70.000000,70.000000,-2.000000,25.000000,1.066031,1.079648,-0.013617,19.621622,30.461538,1,10.839917,10.839917,19.250000,30.461538,1,11.211538,11.211538,-0.371622,89.000000,26.906806,29.290923,-2.384117,0.000000,127.000000,1,127.000000,127.000000,0.000000,132.000000,1,132.000000,132.000000,-5.000000,20.000000,13.432773,12.975789,0.456984,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.133333,0.037797,0.046289,-0.008493,0.041667,0.391489,1,0.349823,0.349823,0.041667,0.391489,1,0.349823,0.349823,0.000000
train_0005,27,28,1,0.142999,33.000000,6.017432,5.544888,0.472544,13.000000,81.000000,1,68.000000,68.000000,13.000000,78.000000,1,65.000000,65.000000,3.000000,21.000000,0.906432,0.821330,0.085102,16.054054,24.923077,1,8.869023,8.869023,16.100917,24.468750,1,8.367833,8.367833,0.501190,114.000000,56.108103,53.753859,2.354244,0.000000,104.000000,0,104.000000,204.000000,0.000000,116.000000,1,116.000000,116.000000,88.000000,20.000000,13.432773,13.906769,-0.473995,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.084507,0.056921,0.047319,0.009602,0.041667,0.391489,1,0.349823,0.349823,0.044444,0.377358,1,0.332914,0.332914,0.016909
train_0006,56,132,1,0.148130,43.000000,8.044367,8.671530,-0.627163,13.000000,81.000000,1,68.000000,68.000000,14.000000,82.000000,1,68.000000,68.000000,0.000000,46.000000,2.479465,3.057207,-0.577742,33.297297,51.692308,1,18.395010,18.395010,32.421053,51.636364,1,19.215311,19.215311,-0.820301,112.000000,16.665961,19.064507,-2.398546,39.000000,213.000000,1,174.000000,174.000000,39.000000,208.000000,1,169.000000,169.000000,5.000000,1.000000,0.541462,0.622867,-0.081405,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.418033,0.159605,0.117205,0.042400,0.041667,0.377358,0,0.335692,0.742435,0.061538,0.494624,1,0.433085,0.433085,0.309350
train_0007,84,152,1,0.199201,55.000000,13.165758,11.643230,1.522528,13.000000,81.000000,1,68.000000,68.000000,15.000000,71.000000,1,56.000000,56.000000,12.000000,60.000000,3.159215,3.249309,-0.090094,49.945946,77.538462,1,27.592516,27.592516,51.000000,78.070588,1,27.070588,27.070588,0.521927,142.000000,15.103869,15.722895,-0.619026,59.000000,233.000000,1,174.000000,174.000000,13.000000,226.000000,1,213.000000,213.000000,-39.000000,1.000000,0.541462,0.640466,-0.099004,1.000000,20.000000,1,19.000000,19.000000,1.000000,20.000000,1,19.000000,19.000000,0.000000,0.265306,0.054323,0.048933,0.005390,0.041667,0.391489,1,0.349823,0.349823,0.037736,0.368000,1,0.330264,0.330264,0.019559
train_0008,31,53,1,0.166900,22.000000,7.436287,5.536224,1.900062,13.000000,81.000000,1,68.000000,68.000000,14.000000,72.000000,1,58.000000,58.000000,10.000000,24.000000,1.028012,1.166513,-0.138501,18.432432,28.615385,1,10.182952,10.182952,17.714286,28.304348,1,10.590062,10.590062,-0.407110,30.000000,16.238187,16.472592,-0.234404,0.000000,134.000000,1,134.000000,134.000000,0.000000,127.000000,1,127.000000,127.000000,7.000000,21.000000,14.378677,14.146738,0.231939,1.000000,20.000000,0,19.000000,29.000000,1.000000,20.000000,0,19.000000,29.000000,0.000000,0.072289,0.064058,0.096104,-0.032046,0.041667,0.391489,1,0.349823,0.349823,0.060976,0.494624,1,0.433648,0.433648,-0.083825
train_0009,201,378,21,0.227338,24.000000,6.747129,8.226298,-1.479169,13.000000,81.000000,1,68.000000,68.000000,13.000000,94.000000,1,81.000000,81.000000,-13.000000,161.000000,7.651789,5.645453,2.006337,119.513514,185.538462,1,66.024948,66.024948,122.833333,186.845070,1,64.011737,64.011737,2.013211,118.000000,215.649836,181.209034,34.440802,285.000000,459.000000,0,174.000000,1844.000000,239.000000,450.000000,0,211.000000,1421.000000,423.000000,22.000000,1.598216,1.845627,-0.247411,2.000000,40.000000,1,38.000000,38.000000,2.000000,38.000000,1,36.000000,36.000000,2.000000,0.237903,0.043530,0.043111,0.000419,0.041667,0.391489,1,0.349823,0.349823,0.044444,0.358209,1,0.313765,0.313765,0.036058
train_0010,26,75,20,0.180998,15.000000,11.692852,8.724252,2.968600,13.000000,81.000000,1,68.000000,68.000000,12.000000,80.000000,1,68.000000,68.000000,0.000000,18.000000,1.145902,0.842418,0.303484,15.459459,24.000000,1,8.540541,8.540541,14.772727,23.400000,1,8.627273,8.627273,-0.086732,23.000000,30.057520,32.956244,-2.898724,0.000000,156.000000,1,156.000000,156.000000,12.000000,156.000000,1,144.000000,144.000000,12.000000,1.000000,14.300347,14.971836,-0.671489,1.000000,39.000000,1,38.000000,38.000000,3.000000,39.000000,0,36.000000,56.000000,-18.000000,0.081633,0.058397,0.080595,-0.022198,0.041667,0.391489,1,0.349823,0.349823,0.061538,0.469274,1,0.407735,0.407735,-0.057913
