id,source_unique_tokens,source_word_count,source_line_count,mean_text_only_neighbor_cosine_similarity,mean_demographics_only_neighbor_cosine_similarity,mean_combined_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_text_only_crps,add_count_demographics_only_crps,add_count_combined_crps,delete_count_observed,delete_count_marginal_crps,delete_count_text_only_crps,delete_count_demographics_only_crps,delete_count_combined_crps,word_count_observed,word_count_marginal_crps,word_count_text_only_crps,word_count_demographics_only_crps,word_count_combined_crps,line_count_observed,line_count_marginal_crps,line_count_text_only_crps,line_count_demographics_only_crps,line_count_combined_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_text_only_crps,source_similarity_demographics_only_crps,source_similarity_combined_crps
train_0001,57,92,21,0.181077,0.503118,0.188328,17.000000,10.233458,10.527935,9.643534,10.688338,51.000000,4.769315,4.481855,3.861486,4.510232,62.000000,19.378722,15.989701,18.166933,16.096579,16.000000,4.017026,4.190930,4.035985,4.168624,0.233766,0.042370,0.040565,0.046091,0.039913
train_0002,44,101,1,0.201339,0.424139,0.199073,21.000000,7.868700,6.637610,5.950655,7.074499,30.000000,2.108790,1.428809,2.408894,1.353910,58.000000,25.363587,24.288620,20.284660,24.956223,21.000000,14.378677,14.267144,15.080880,13.744089,0.264151,0.053792,0.042695,0.050312,0.040927
train_0003,32,33,2,0.085966,0.395658,0.100038,18.000000,9.557813,8.545891,10.928575,8.759493,27.000000,1.718248,1.454118,1.614849,1.502879,37.000000,12.142471,12.183134,14.579893,12.555684,1.000000,1.086483,1.090623,0.962197,1.111260,0.114286,0.044042,0.030998,0.038612,0.031302
train_0004,33,46,1,0.162327,0.374609,0.167982,27.000000,6.098509,5.319973,6.437647,5.744882,25.000000,1.066031,1.118374,1.246173,1.079648,89.000000,26.906806,30.629470,30.451774,29.290923,20.000000,13.432773,12.995511,12.964977,12.975789,0.133333,0.037797,0.045393,0.034921,0.046289
train_0005,27,28,1,0.128577,0.395391,0.142999,33.000000,6.017432,5.030846,6.645008,5.544888,21.000000,0.906432,0.793811,1.042715,0.821330,114.000000,56.108103,54.305999,57.268039,53.753859,20.000000,13.432773,13.589490,13.097164,13.906769,0.084507,0.056921,0.047618,0.054072,0.047319
train_0006,56,132,1,0.144911,0.355597,0.148130,43.000000,8.044367,8.620725,7.678251,8.671530,46.000000,2.479465,3.070490,3.113261,3.057207,112.000000,16.665961,17.476858,21.772032,19.064507,1.000000,0.541462,0.526507,0.736611,0.622867,0.418033,0.159605,0.115411,0.152343,0.117205
train_0007,84,152,1,0.197022,0.619930,0.199201,55.000000,13.165758,11.261854,14.880900,11.643230,60.000000,3.159215,3.220682,3.060349,3.249309,142.000000,15.103869,16.261064,13.950130,15.722895,1.000000,0.541462,0.668026,0.629185,0.640466,0.265306,0.054323,0.050641,0.044865,0.048933
train_0008,31,53,1,0.158548,0.460528,0.166900,22.000000,7.436287,5.281815,7.472587,5.536224,24.000000,1.028012,1.109572,1.068929,1.166513,30.000000,16.238187,14.496911,15.947598,16.472592,21.000000,14.378677,14.539884,14.155575,14.146738,0.072289,0.064058,0.095484,0.077573,0.096104
train_0009,201,378,21,0.227362,0.512574,0.227338,24.000000,6.747129,8.156797,5.223471,8.226298,161.000000,7.651789,5.840923,7.302104,5.645453,118.000000,215.649836,181.468464,204.055396,181.209034,22.000000,1.598216,1.857823,1.245683,1.845627,0.237903,0.043530,0.041713,0.048948,0.043111
train_0010,26,75,20,0.187998,0.323797,0.180998,15.000000,11.692852,9.247988,8.899493,8.724252,18.000000,1.145902,0.799577,1.332813,0.842418,23.000000,30.057520,33.248458,26.652392,32.956244,1.000000,14.300347,14.968882,14.711675,14.971836,0.081633,0.058397,0.085971,0.045561,0.080595
train_0011,20,20,1,0.079351,0.382781,0.097192,43.000000,8.044367,9.263161,7.983800,9.085402,17.000000,1.134713,1.021770,1.054472,1.058162,56.000000,20.603892,19.107202,23.125478,18.997698,1.000000,0.541462,0.396354,0.423234,0.382238,0.078947,0.059861,0.054345,0.053332,0.060041
train_0012,45,58,1,0.109464,0.432204,0.116370,26.000000,6.233638,6.097823,4.961894,5.536462,34.000000,1.453181,1.571835,1.700555,1.666050,65.000000,13.814468,16.142573,14.391820,14.469952,11.000000,6.851989,7.470738,6.716059,7.261481,0.162602,0.032910,0.035148,0.029952,0.035394
train_0013,45,92,20,0.181116,0.435078,0.186233,26.000000,6.233638,5.193696,5.036273,5.012448,35.000000,1.510720,1.882603,1.563188,1.851355,68.000000,17.419350,15.272595,15.699805,14.768838,20.000000,1.030674,1.323602,0.600636,1.175327,0.125000,0.040152,0.066519,0.043003,0.069886
train_0014,28,79,19,0.180540,0.329490,0.175561,22.000000,7.436287,6.769606,6.227686,6.908283,17.000000,2.582457,2.227629,2.466326,2.258439,101.000000,18.203234,17.539445,19.348371,18.215373,1.000000,13.515517,13.427174,13.560489,13.089995,0.544444,0.276141,0.200426,0.255416,0.208456
train_0015,22,60,1,0.136557,0.413541,0.146209,81.000000,30.935228,32.396564,30.285782,32.141130,18.000000,0.948980,1.140296,0.973843,1.156852,135.000000,49.097248,46.225155,45.377369,44.073503,20.000000,13.432773,15.281697,13.873101,15.161343,0.266667,0.054967,0.047376,0.064933,0.050533
train_0016,18,18,1,0.120706,0.315191,0.126340,32.000000,5.963380,6.383108,7.499771,6.730527,15.000000,0.878313,1.199899,1.134231,1.255895,51.000000,18.857799,15.418214,16.881449,14.628255,20.000000,13.432773,13.265736,12.984191,13.199257,0.086957,0.055726,0.079591,0.066632,0.073078
train_0017,47,68,1,0.151278,0.437018,0.155584,20.000000,8.395703,9.032117,6.639770,9.136206,45.000000,6.310772,5.816821,7.035558,5.817974,22.000000,26.430206,17.227366,28.947910,18.007656,18.000000,11.919328,13.220737,11.498042,13.212907,0.044444,0.084838,0.086214,0.092288,0.085906
train_0018,69,106,1,0.172400,0.486909,0.175403,119.000000,66.352552,64.579805,71.769869,64.989654,35.000000,12.505004,14.173013,11.781589,14.293331,271.000000,133.178325,154.290375,138.077125,156.363741,1.000000,0.541462,0.406203,0.530025,0.405877,0.185676,0.032634,0.027630,0.034905,0.028356
train_0019,35,61,1,0.182166,0.470179,0.186716,11.000000,14.976488,14.568352,13.080526,14.646628,32.000000,3.426111,4.192142,3.016096,4.007460,15.000000,26.239223,26.475827,23.032027,27.002149,11.000000,6.851989,7.350534,7.534612,6.936181,0.052632,0.078403,0.106089,0.075204,0.099908
train_0020,78,100,20,0.137381,0.359399,0.139456,49.000000,10.273997,9.486939,9.713910,9.526454,67.000000,4.781158,4.904133,3.993529,4.932654,77.000000,17.194180,17.355175,21.066105,17.483841,20.000000,1.030674,1.106598,1.116646,1.120595,0.124294,0.040372,0.041656,0.035172,0.041648
train_0021,38,70,1,0.186208,0.486909,0.192063,33.000000,6.017432,6.218475,6.083363,6.236357,22.000000,4.370849,4.197365,4.108072,4.450211,66.000000,13.904869,11.707775,12.796023,11.937416,1.000000,0.541462,0.938883,0.530025,0.905505,0.176471,0.032515,0.040946,0.035371,0.039144
train_0022,73,146,20,0.190229,0.287226,0.188180,53.000000,12.138778,10.976671,11.818440,11.356195,46.000000,5.523333,6.735119,4.625225,6.773932,167.000000,18.296113,29.194892,17.976231,28.115742,1.000000,14.300347,13.191647,14.693528,13.252609,0.408946,0.151791,0.143961,0.131482,0.138467
train_0023,150,318,20,0.232324,0.553556,0.231662,106.000000,53.690960,50.774346,58.697177,50.874807,104.000000,6.561081,8.578219,6.607022,8.730202,265.000000,31.290572,21.419709,27.339802,21.469392,1.000000,14.300347,13.304031,14.346318,13.328002,0.171527,0.032582,0.033083,0.036089,0.033394
train_0024,30,87,19,0.175538,0.423623,0.177318,15.000000,11.692852,8.031175,9.849659,8.741541,23.000000,0.978093,1.192441,1.007163,1.140943,23.000000,37.922211,39.620579,36.689575,42.189900,2.000000,12.758795,13.281292,13.917546,13.279004,0.145455,0.034979,0.051186,0.045840,0.054441
train_0025,36,62,20,0.108971,0.384607,0.115185,70.000000,22.516688,21.142079,22.505236,21.294916,22.000000,3.212199,2.671142,3.656594,2.778097,132.000000,45.473898,41.780334,47.153950,41.597807,19.000000,1.503626,1.516755,1.315215,1.505544,0.164948,0.032783,0.032707,0.029860,0.032455
train_0026,19,20,1,0.081951,0.468919,0.108161,26.000000,6.233638,5.361675,5.535046,5.287552,15.000000,0.674941,0.618734,0.843416,0.726196,31.000000,11.550245,12.420350,11.309389,12.176008,1.000000,0.541462,0.459664,0.950362,0.480268,0.078431,0.060161,0.040315,0.062027,0.047210
train_0027,72,117,1,0.169500,0.436072,0.173062,32.000000,5.963380,5.658274,4.844689,5.741655,47.000000,4.446986,4.861873,5.101058,4.608083,111.000000,14.590424,17.560505,15.122472,16.410558,1.000000,0.541462,0.368024,0.448018,0.366942,0.324561,0.087117,0.076519,0.076627,0.071376
train_0028,18,19,1,0.091875,0.455015,0.111115,37.000000,6.544435,6.500511,6.906414,6.572265,16.000000,1.434979,1.463611,1.052634,1.513273,62.000000,24.260439,21.921384,31.250972,20.458591,1.000000,0.541462,0.750940,0.330253,0.667175,0.024691,0.101690,0.096488,0.083054,0.096593
train_0029,22,22,14,0.081625,0.413073,0.100749,22.000000,7.436287,6.262680,4.790722,5.643213,18.000000,0.948980,1.128527,1.076936,1.423128,54.000000,19.066213,21.265944,20.412862,19.154466,13.000000,1.400703,1.287916,1.475390,1.360453,0.078947,0.059861,0.069973,0.068990,0.076391
train_0030,24,29,20,0.084834,0.599176,0.102547,35.000000,6.233638,6.690752,5.877166,6.554599,20.000000,1.171084,1.606437,1.556377,1.511667,84.000000,33.154182,29.723116,30.746532,29.585060,19.000000,1.503626,1.233802,1.387837,1.236850,0.123894,0.040501,0.047074,0.054713,0.043019
train_0031,126,217,20,0.211621,0.472322,0.213212,28.000000,6.017432,5.967520,6.118671,5.855754,102.000000,5.099739,3.875646,5.207356,3.842923,93.000000,86.617315,57.239207,84.320423,57.063799,19.000000,1.503626,1.370842,1.565496,1.376650,0.200000,0.034565,0.030623,0.033576,0.030111
