id,source_unique_tokens,source_word_count,source_line_count,mean_neighbor_cosine_similarity,add_count_observed,add_count_marginal_prediction,add_count_neighborhood_prediction,add_count_marginal_absolute_error,add_count_neighborhood_absolute_error,add_count_marginal_minus_neighborhood_absolute_error,delete_count_observed,delete_count_marginal_prediction,delete_count_neighborhood_prediction,delete_count_marginal_absolute_error,delete_count_neighborhood_absolute_error,delete_count_marginal_minus_neighborhood_absolute_error,word_count_observed,word_count_marginal_prediction,word_count_neighborhood_prediction,word_count_marginal_absolute_error,word_count_neighborhood_absolute_error,word_count_marginal_minus_neighborhood_absolute_error,line_count_observed,line_count_marginal_prediction,line_count_neighborhood_prediction,line_count_marginal_absolute_error,line_count_neighborhood_absolute_error,line_count_marginal_minus_neighborhood_absolute_error,source_similarity_observed,source_similarity_marginal_prediction,source_similarity_neighborhood_prediction,source_similarity_marginal_absolute_error,source_similarity_neighborhood_absolute_error,source_similarity_marginal_minus_neighborhood_absolute_error
train_0001,57,92,21,0.188328,17.000000,32.000000,29.000000,15.000000,12.000000,3.000000,51.000000,43.066667,43.918033,7.933333,7.081967,0.851366,62.000000,92.000000,77.000000,30.000000,15.000000,15.000000,16.000000,21.000000,21.000000,5.000000,5.000000,0.000000,0.233766,0.176471,0.185273,0.057296,0.048493,0.008803
train_0002,44,101,1,0.199073,21.000000,32.000000,29.000000,11.000000,8.000000,3.000000,30.000000,33.297297,31.680000,3.297297,1.680000,1.617297,58.000000,101.000000,100.000000,43.000000,42.000000,1.000000,21.000000,1.000000,1.000000,20.000000,20.000000,0.000000,0.264151,0.176471,0.234742,0.087680,0.029409,0.058271
train_0003,32,33,2,0.100038,18.000000,32.000000,32.000000,14.000000,14.000000,0.000000,27.000000,24.177778,24.888889,2.822222,2.111111,0.711111,37.000000,32.000000,39.000000,5.000000,2.000000,3.000000,1.000000,2.000000,2.000000,1.000000,1.000000,0.000000,0.114286,0.179310,0.133333,0.065025,0.019048,0.045977
train_0004,33,46,1,0.167982,27.000000,32.000000,28.000000,5.000000,1.000000,4.000000,25.000000,24.933333,24.933333,0.066667,0.066667,0.000000,89.000000,45.000000,41.000000,44.000000,48.000000,-4.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.133333,0.179310,0.188235,0.045977,0.054902,-0.008925
train_0005,27,28,1,0.142999,33.000000,30.000000,27.000000,3.000000,6.000000,-3.000000,21.000000,20.400000,20.454545,0.600000,0.545455,0.054545,114.000000,27.000000,32.000000,87.000000,82.000000,5.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.084507,0.179310,0.156682,0.094803,0.072175,0.022628
train_0006,56,132,1,0.148130,43.000000,30.000000,30.000000,13.000000,13.000000,0.000000,46.000000,42.311111,40.800000,3.688889,5.200000,-1.511111,112.000000,132.000000,139.000000,20.000000,27.000000,-7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.418033,0.176471,0.222222,0.241562,0.195811,0.045752
train_0007,84,152,1,0.199201,55.000000,30.000000,33.000000,25.000000,22.000000,3.000000,60.000000,63.567568,64.067797,3.567568,4.067797,-0.500229,142.000000,152.000000,148.000000,10.000000,6.000000,4.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.265306,0.176471,0.185430,0.088836,0.079876,0.008960
train_0008,31,53,1,0.166900,22.000000,32.000000,26.000000,10.000000,4.000000,6.000000,24.000000,23.422222,22.585714,0.577778,1.414286,-0.836508,30.000000,53.000000,57.000000,23.000000,27.000000,-4.000000,21.000000,1.000000,1.000000,20.000000,20.000000,0.000000,0.072289,0.179310,0.238095,0.107021,0.165806,-0.058785
train_0009,201,378,21,0.227338,24.000000,32.000000,32.000000,8.000000,8.000000,0.000000,161.000000,151.866667,160.019417,9.133333,0.980583,8.152751,118.000000,378.000000,345.000000,260.000000,227.000000,33.000000,22.000000,21.000000,21.000000,1.000000,1.000000,0.000000,0.237903,0.176471,0.171527,0.061433,0.066377,-0.004944
train_0010,26,75,20,0.180998,15.000000,32.000000,26.000000,17.000000,11.000000,6.000000,18.000000,19.675676,18.720000,1.675676,0.720000,0.955676,23.000000,75.000000,75.000000,52.000000,52.000000,0.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.081633,0.179310,0.203390,0.097678,0.121757,-0.024079
train_0011,20,20,1,0.097192,43.000000,30.000000,26.000000,13.000000,17.000000,-4.000000,17.000000,15.111111,15.151515,1.888889,1.848485,0.040404,56.000000,19.000000,24.000000,37.000000,32.000000,5.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.078947,0.179310,0.164948,0.100363,0.086001,0.014362
train_0012,45,58,1,0.116370,26.000000,32.000000,28.000000,6.000000,2.000000,4.000000,34.000000,34.054054,34.054054,0.054054,0.054054,0.000000,65.000000,57.000000,52.000000,8.000000,13.000000,-5.000000,11.000000,1.000000,1.000000,10.000000,10.000000,0.000000,0.162602,0.179310,0.185430,0.016709,0.022829,-0.006120
train_0013,45,92,20,0.186233,26.000000,32.000000,26.000000,6.000000,0.000000,6.000000,35.000000,34.000000,32.400000,1.000000,2.600000,-1.600000,68.000000,92.000000,89.000000,24.000000,21.000000,3.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.125000,0.179310,0.243386,0.054310,0.118386,-0.064076
train_0014,28,79,19,0.175561,22.000000,32.000000,27.000000,10.000000,5.000000,5.000000,17.000000,21.189189,20.837209,4.189189,3.837209,0.351980,101.000000,78.000000,78.000000,23.000000,23.000000,0.000000,1.000000,19.000000,19.000000,18.000000,18.000000,0.000000,0.544444,0.176471,0.245763,0.367974,0.298682,0.069292
train_0015,22,60,1,0.146209,81.000000,30.000000,26.000000,51.000000,55.000000,-4.000000,18.000000,16.622222,16.097561,1.377778,1.902439,-0.524661,135.000000,59.000000,64.000000,76.000000,71.000000,5.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.266667,0.176471,0.190476,0.090196,0.076190,0.014006
train_0016,18,18,1,0.126340,32.000000,30.000000,36.000000,2.000000,4.000000,-2.000000,15.000000,13.600000,12.666667,1.400000,2.333333,-0.933333,51.000000,17.000000,28.000000,34.000000,23.000000,11.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.086957,0.179310,0.212766,0.092354,0.125809,-0.033456
train_0017,47,68,1,0.155584,20.000000,32.000000,33.000000,12.000000,13.000000,-1.000000,45.000000,35.511111,36.387097,9.488889,8.612903,0.875986,22.000000,68.000000,46.000000,46.000000,24.000000,22.000000,18.000000,1.000000,1.000000,17.000000,17.000000,0.000000,0.044444,0.179310,0.183908,0.134866,0.139464,-0.004598
train_0018,69,106,1,0.175403,119.000000,30.000000,28.000000,89.000000,91.000000,-2.000000,35.000000,52.216216,54.932039,17.216216,19.932039,-2.715823,271.000000,105.000000,73.000000,166.000000,198.000000,-32.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.185676,0.176471,0.171527,0.009206,0.014150,-0.004944
train_0019,35,61,1,0.186716,11.000000,32.000000,28.000000,21.000000,17.000000,4.000000,32.000000,26.444444,25.609756,5.555556,6.390244,-0.834688,15.000000,61.000000,60.000000,46.000000,45.000000,1.000000,11.000000,1.000000,1.000000,10.000000,10.000000,0.000000,0.052632,0.179310,0.216216,0.126679,0.163585,-0.036906
