rank,token,training_add_cases,training_add_rate,development_observed_add_cases,marginal_predicted_cases,marginal_correct_cases,retrieval_predicted_cases,retrieval_correct_cases
1,an,35,0.233333,9,24,9,9,7
2,in,35,0.233333,10,22,10,11,8
3,my,31,0.206667,8,23,8,13,4
4,is,30,0.200000,5,34,5,17,2
5,who,28,0.186667,10,31,10,13,7
6,and,27,0.180000,7,23,6,14,4
7,for,27,0.180000,8,37,8,9,2
8,of,27,0.180000,11,25,10,6,3
9,person,27,0.180000,5,27,5,12,3
10,the,27,0.180000,5,24,5,12,3
11,with,26,0.173333,7,30,7,12,2
12,at,25,0.166667,8,39,8,9,0
13,be,24,0.160000,7,34,7,4,0
14,friend,23,0.153333,5,39,5,15,2
15,have,23,0.153333,6,34,6,14,3
16,lover,23,0.153333,6,37,5,5,0
17,about,22,0.146667,11,40,11,7,3
18,things,22,0.146667,7,37,6,11,1
19,do,21,0.140000,5,39,5,3,0
20,live,21,0.140000,3,42,3,5,0
21,that,21,0.140000,6,36,5,3,1
22,to,21,0.140000,8,17,7,7,3
23,as,20,0.133333,7,37,7,13,1
24,i'm,20,0.133333,4,35,3,8,0
25,kind,20,0.133333,4,38,4,5,0
26,me,20,0.133333,5,36,5,11,1
27,not,20,0.133333,6,26,5,11,2
28,others,20,0.133333,3,35,3,10,1
29,am,19,0.126667,4,5,3,6,4
30,creative,19,0.126667,3,32,2,5,0
31,life,19,0.126667,8,26,6,11,3
32,on,19,0.126667,10,26,9,11,4
33,people,19,0.126667,9,29,5,9,1
34,it,18,0.120000,4,27,4,6,1
35,very,18,0.120000,6,28,4,5,3
36,but,17,0.113333,6,24,4,11,1
37,good,17,0.113333,5,27,3,15,1
38,i,17,0.113333,5,2,2,6,5
39,love,17,0.113333,10,21,6,9,3
40,enjoy,16,0.106667,7,31,6,7,3
41,like,16,0.106667,12,20,9,4,1
42,myself,16,0.106667,3,26,3,2,0
43,a,15,0.100000,5,2,2,6,5
44,all,15,0.100000,6,28,5,5,2
45,also,15,0.100000,5,24,4,8,1
46,can,15,0.100000,8,23,6,4,2
47,from,15,0.100000,6,23,3,3,0
48,mother,15,0.100000,4,24,1,5,0
49,other,15,0.100000,1,21,0,0,0
50,sister,15,0.100000,1,20,0,8,0
51,time,15,0.100000,5,18,3,8,1
52,being,14,0.093333,5,22,3,5,1
53,daughter,14,0.093333,3,20,1,9,1
54,new,14,0.093333,2,22,0,4,0
55,work,14,0.093333,4,23,2,6,1
56,artist,13,0.086667,1,24,0,6,0
57,fun,13,0.086667,4,24,3,0,0
58,learning,13,0.086667,4,24,2,6,2
59,loyal,13,0.086667,3,24,1,7,0
60,many,13,0.086667,4,19,0,4,0
61,someone,13,0.086667,7,20,4,14,2
62,strong,13,0.086667,3,21,3,4,0
63,woman,13,0.086667,2,16,0,9,0
64,are,12,0.080000,5,19,3,3,1
65,believe,12,0.080000,2,19,0,7,0
66,caring,12,0.080000,3,21,1,6,0
67,cook,12,0.080000,6,18,3,2,0
68,empathetic,12,0.080000,0,17,0,5,0
69,family,12,0.080000,4,16,2,6,1
70,female,12,0.080000,0,18,0,3,0
71,great,12,0.080000,4,20,2,1,0
72,hard,12,0.080000,4,17,1,5,0
73,man,12,0.080000,4,16,1,5,1
74,more,12,0.080000,4,16,1,6,0
75,nature,12,0.080000,3,17,0,4,0
76,one,12,0.080000,5,15,3,1,0
77,owner,12,0.080000,3,13,1,10,1
78,still,12,0.080000,3,16,1,3,0
79,was,12,0.080000,3,14,1,2,0
80,years,12,0.080000,3,14,1,5,0
81,2,11,0.073333,2,10,1,3,0
82,around,11,0.073333,1,13,1,12,0
83,games,11,0.073333,1,12,1,3,0
