id,source_unique_tokens,observed_addition_budget,reachable_observed_additions,reachable_fraction,mean_neighbor_cosine_similarity,marginal_hits,marginal_recovered_fraction,neighborhood_hits,neighborhood_recovered_fraction,neighborhood_minus_marginal,top_set_overlap_fraction
train_0001,57,17,16,0.941176,0.188328,3,0.176471,3,0.176471,0.000000,0.764706
train_0002,44,21,15,0.714286,0.199073,2,0.095238,2,0.095238,0.000000,0.714286
train_0003,32,18,17,0.944444,0.100038,6,0.333333,7,0.388889,0.055556,0.777778
train_0004,33,27,25,0.925926,0.167982,4,0.148148,3,0.111111,-0.037037,0.777778
train_0005,27,33,30,0.909091,0.142999,11,0.333333,10,0.303030,-0.030303,0.757576
train_0006,56,43,28,0.651163,0.148130,5,0.116279,4,0.093023,-0.023256,0.767442
train_0007,84,55,42,0.763636,0.199201,14,0.254545,10,0.181818,-0.072727,0.690909
train_0008,31,22,18,0.818182,0.166900,3,0.136364,2,0.090909,-0.045455,0.727273
train_0009,201,24,12,0.500000,0.227338,0,0.000000,0,0.000000,0.000000,0.666667
train_0010,26,15,11,0.733333,0.180998,1,0.066667,1,0.066667,0.000000,0.800000
train_0011,20,43,32,0.744186,0.097192,13,0.302326,13,0.302326,0.000000,0.767442
train_0012,45,26,22,0.846154,0.116370,5,0.192308,4,0.153846,-0.038462,0.692308
train_0013,45,26,16,0.615385,0.186233,4,0.153846,3,0.115385,-0.038462,0.769231
train_0014,28,22,17,0.772727,0.175561,2,0.090909,1,0.045455,-0.045455,0.772727
train_0015,22,81,64,0.790123,0.146209,30,0.370370,33,0.407407,0.037037,0.814815
train_0016,18,32,25,0.781250,0.126340,4,0.125000,1,0.031250,-0.093750,0.812500
train_0017,47,20,13,0.650000,0.155584,0,0.000000,0,0.000000,0.000000,0.750000
train_0018,69,119,77,0.647059,0.175403,28,0.235294,30,0.252101,0.016807,0.722689
train_0019,35,11,9,0.818182,0.186716,0,0.000000,0,0.000000,0.000000,0.545455
train_0020,78,49,40,0.816327,0.139456,10,0.204082,9,0.183673,-0.020408,0.755102
train_0021,38,33,26,0.787879,0.192063,8,0.242424,6,0.181818,-0.060606,0.757576
train_0022,73,53,40,0.754717,0.188180,8,0.150943,6,0.113208,-0.037736,0.773585
train_0023,150,106,68,0.641509,0.231662,20,0.188679,16,0.150943,-0.037736,0.726415
train_0024,30,15,9,0.600000,0.177318,0,0.000000,0,0.000000,0.000000,0.666667
train_0025,36,70,57,0.814286,0.115185,24,0.342857,23,0.328571,-0.014286,0.771429
train_0026,19,26,20,0.769231,0.108161,0,0.000000,0,0.000000,0.000000,0.653846
train_0027,72,32,24,0.750000,0.173062,5,0.156250,2,0.062500,-0.093750,0.625000
train_0028,18,37,29,0.783784,0.111115,6,0.162162,7,0.189189,0.027027,0.756757
train_0029,22,22,17,0.772727,0.100749,2,0.090909,1,0.045455,-0.045455,0.772727
train_0030,24,35,35,1.000000,0.102547,9,0.257143,8,0.228571,-0.028571,0.828571
train_0031,126,28,21,0.750000,0.213212,3,0.107143,2,0.071429,-0.035714,0.714286
train_0032,96,46,35,0.760870,0.192829,9,0.195652,7,0.152174,-0.043478,0.608696
train_0033,27,6,2,0.333333,0.098753,0,0.000000,0,0.000000,0.000000,0.500000
train_0034,57,44,37,0.840909,0.167998,10,0.227273,11,0.250000,0.022727,0.795455
train_0035,93,35,31,0.885714,0.172985,5,0.142857,5,0.142857,0.000000,0.657143
train_0036,54,70,51,0.728571,0.162456,18,0.257143,15,0.214286,-0.042857,0.800000
train_0037,38,19,11,0.578947,0.183960,0,0.000000,0,0.000000,0.000000,0.842105
train_0038,84,76,52,0.684211,0.116884,7,0.092105,7,0.092105,0.000000,0.802632
train_0039,58,55,43,0.781818,0.197142,11,0.200000,12,0.218182,0.018182,0.763636
train_0040,35,80,65,0.812500,0.183096,27,0.337500,27,0.337500,0.000000,0.812500
train_0041,45,15,9,0.600000,0.196850,0,0.000000,0,0.000000,0.000000,0.800000
train_0042,58,9,7,0.777778,0.174867,1,0.111111,1,0.111111,0.000000,0.666667
train_0043,58,25,20,0.800000,0.133641,4,0.160000,2,0.080000,-0.080000,0.720000
train_0044,44,16,11,0.687500,0.184449,1,0.062500,1,0.062500,0.000000,0.750000
train_0045,52,72,56,0.777778,0.156898,15,0.208333,18,0.250000,0.041667,0.763889
train_0046,31,27,23,0.851852,0.154124,6,0.222222,5,0.185185,-0.037037,0.740741
train_0047,38,16,14,0.875000,0.177953,1,0.062500,1,0.062500,0.000000,0.625000
train_0048,62,23,18,0.782609,0.193180,6,0.260870,5,0.217391,-0.043478,0.652174
train_0049,60,18,13,0.722222,0.181344,0,0.000000,0,0.000000,0.000000,0.777778
train_0050,67,41,34,0.829268,0.237024,9,0.219512,11,0.268293,0.048780,0.707317
train_0051,25,68,47,0.691176,0.136698,18,0.264706,18,0.264706,0.000000,0.764706
train_0052,221,28,21,0.750000,0.232114,1,0.035714,0,0.000000,-0.035714,0.571429
train_0053,28,29,25,0.862069,0.156845,8,0.275862,7,0.241379,-0.034483,0.827586
train_0054,71,7,6,0.857143,0.209539,0,0.000000,0,0.000000,0.000000,0.714286
train_0055,20,24,20,0.833333,0.141683,1,0.041667,4,0.166667,0.125000,0.708333
train_0056,21,56,50,0.892857,0.127739,22,0.392857,22,0.392857,0.000000,0.839286
train_0057,61,6,6,1.000000,0.194323,0,0.000000,0,0.000000,0.000000,0.500000
train_0058,85,49,37,0.755102,0.203064,7,0.142857,7,0.142857,0.000000,0.673469
train_0059,25,27,23,0.851852,0.131110,4,0.148148,4,0.148148,0.000000,0.777778
train_0060,120,25,17,0.680000,0.218467,2,0.080000,3,0.120000,0.040000,0.680000
train_0061,103,47,39,0.829787,0.219919,9,0.191489,7,0.148936,-0.042553,0.765957
train_0062,85,24,21,0.875000,0.203632,3,0.125000,2,0.083333,-0.041667,0.583333
train_0063,27,13,12,0.923077,0.212107,2,0.153846,2,0.153846,0.000000,0.692308
train_0064,46,18,16,0.888889,0.201221,2,0.111111,2,0.111111,0.000000,0.666667
