id,source_unique_tokens,observed_addition_budget,reachable_observed_additions,reachable_fraction,marginal_hits,marginal_recovered_fraction,source_conditioned_hits,source_conditioned_recovered_fraction,conditioned_minus_marginal
train_0001,57,17,16,0.941176,3,0.176471,3,0.176471,0.000000
train_0002,44,21,15,0.714286,2,0.095238,2,0.095238,0.000000
train_0003,32,18,17,0.944444,6,0.333333,5,0.277778,-0.055556
train_0004,33,27,25,0.925926,4,0.148148,3,0.111111,-0.037037
train_0005,27,33,30,0.909091,11,0.333333,11,0.333333,0.000000
train_0006,56,43,28,0.651163,5,0.116279,4,0.093023,-0.023256
train_0007,84,55,42,0.763636,14,0.254545,10,0.181818,-0.072727
train_0008,31,22,18,0.818182,3,0.136364,3,0.136364,0.000000
train_0009,201,24,12,0.500000,0,0.000000,0,0.000000,0.000000
train_0010,26,15,11,0.733333,1,0.066667,1,0.066667,0.000000
train_0011,20,43,32,0.744186,13,0.302326,14,0.325581,0.023256
train_0012,45,26,22,0.846154,5,0.192308,4,0.153846,-0.038462
train_0013,45,26,16,0.615385,4,0.153846,3,0.115385,-0.038462
train_0014,28,22,17,0.772727,2,0.090909,2,0.090909,0.000000
train_0015,22,81,64,0.790123,30,0.370370,31,0.382716,0.012346
train_0016,18,32,25,0.781250,4,0.125000,2,0.062500,-0.062500
train_0017,47,20,13,0.650000,0,0.000000,0,0.000000,0.000000
train_0018,69,119,77,0.647059,28,0.235294,27,0.226891,-0.008403
train_0019,35,11,9,0.818182,0,0.000000,0,0.000000,0.000000
train_0020,78,49,40,0.816327,10,0.204082,11,0.224490,0.020408
train_0021,38,33,26,0.787879,8,0.242424,8,0.242424,0.000000
train_0022,73,53,40,0.754717,8,0.150943,6,0.113208,-0.037736
train_0023,150,106,68,0.641509,20,0.188679,15,0.141509,-0.047170
train_0024,30,15,9,0.600000,0,0.000000,0,0.000000,0.000000
train_0025,36,70,57,0.814286,24,0.342857,26,0.371429,0.028571
train_0026,19,26,20,0.769231,0,0.000000,0,0.000000,0.000000
train_0027,72,32,24,0.750000,5,0.156250,3,0.093750,-0.062500
train_0028,18,37,29,0.783784,6,0.162162,8,0.216216,0.054054
train_0029,22,22,17,0.772727,2,0.090909,2,0.090909,0.000000
train_0030,24,35,35,1.000000,9,0.257143,9,0.257143,0.000000
train_0031,126,28,21,0.750000,3,0.107143,3,0.107143,0.000000
train_0032,96,46,35,0.760870,9,0.195652,7,0.152174,-0.043478
train_0033,27,6,2,0.333333,0,0.000000,0,0.000000,0.000000
train_0034,57,44,37,0.840909,10,0.227273,12,0.272727,0.045455
train_0035,93,35,31,0.885714,5,0.142857,4,0.114286,-0.028571
train_0036,54,70,51,0.728571,18,0.257143,16,0.228571,-0.028571
train_0037,38,19,11,0.578947,0,0.000000,0,0.000000,0.000000
train_0038,84,76,52,0.684211,7,0.092105,8,0.105263,0.013158
train_0039,58,55,43,0.781818,11,0.200000,13,0.236364,0.036364
train_0040,35,80,65,0.812500,27,0.337500,26,0.325000,-0.012500
train_0041,45,15,9,0.600000,0,0.000000,0,0.000000,0.000000
train_0042,58,9,7,0.777778,1,0.111111,1,0.111111,0.000000
train_0043,58,25,20,0.800000,4,0.160000,4,0.160000,0.000000
train_0044,44,16,11,0.687500,1,0.062500,2,0.125000,0.062500
train_0045,52,72,56,0.777778,15,0.208333,13,0.180556,-0.027778
train_0046,31,27,23,0.851852,6,0.222222,6,0.222222,0.000000
train_0047,38,16,14,0.875000,1,0.062500,0,0.000000,-0.062500
train_0048,62,23,18,0.782609,6,0.260870,4,0.173913,-0.086957
train_0049,60,18,13,0.722222,0,0.000000,0,0.000000,0.000000
train_0050,67,41,34,0.829268,9,0.219512,9,0.219512,0.000000
train_0051,25,68,47,0.691176,18,0.264706,19,0.279412,0.014706
train_0052,221,28,21,0.750000,1,0.035714,1,0.035714,0.000000
train_0053,28,29,25,0.862069,8,0.275862,7,0.241379,-0.034483
train_0054,71,7,6,0.857143,0,0.000000,0,0.000000,0.000000
train_0055,20,24,20,0.833333,1,0.041667,2,0.083333,0.041667
train_0056,21,56,50,0.892857,22,0.392857,22,0.392857,0.000000
train_0057,61,6,6,1.000000,0,0.000000,0,0.000000,0.000000
train_0058,85,49,37,0.755102,7,0.142857,7,0.142857,0.000000
train_0059,25,27,23,0.851852,4,0.148148,3,0.111111,-0.037037
train_0060,120,25,17,0.680000,2,0.080000,1,0.040000,-0.040000
train_0061,103,47,39,0.829787,9,0.191489,8,0.170213,-0.021277
train_0062,85,24,21,0.875000,3,0.125000,2,0.083333,-0.041667
train_0063,27,13,12,0.923077,2,0.153846,3,0.230769,0.076923
train_0064,46,18,16,0.888889,2,0.111111,2,0.111111,0.000000
train_0065,71,63,50,0.793651,17,0.269841,13,0.206349,-0.063492
train_0066,19,38,30,0.789474,7,0.184211,6,0.157895,-0.026316
train_0067,37,51,44,0.862745,7,0.137255,7,0.137255,0.000000
train_0068,32,22,18,0.818182,3,0.136364,2,0.090909,-0.045455
train_0069,41,82,74,0.902439,17,0.207317,15,0.182927,-0.024390
train_0070,58,42,30,0.714286,10,0.238095,10,0.238095,0.000000
train_0071,85,59,36,0.610169,7,0.118644,6,0.101695,-0.016949
train_0072,44,21,19,0.904762,3,0.142857,2,0.095238,-0.047619
train_0073,36,80,59,0.737500,23,0.287500,20,0.250000,-0.037500
train_0074,109,92,65,0.706522,11,0.119565,11,0.119565,0.000000
train_0075,88,38,30,0.789474,11,0.289474,10,0.263158,-0.026316
train_0076,31,37,30,0.810811,8,0.216216,9,0.243243,0.027027
train_0077,84,64,53,0.828125,13,0.203125,10,0.156250,-0.046875
train_0078,98,39,28,0.717949,4,0.102564,4,0.102564,0.000000
train_0079,25,21,16,0.761905,4,0.190476,4,0.190476,0.000000
train_0080,21,32,24,0.750000,8,0.250000,7,0.218750,-0.031250
train_0081,28,18,12,0.666667,0,0.000000,0,0.000000,0.000000
train_0082,20,13,10,0.769231,0,0.000000,0,0.000000,0.000000
train_0083,58,50,38,0.760000,12,0.240000,12,0.240000,0.000000
train_0084,4,1,1,1.000000,0,0.000000,0,0.000000,0.000000
train_0085,36,83,61,0.734940,16,0.192771,14,0.168675,-0.024096
train_0086,28,21,17,0.809524,1,0.047619,0,0.000000,-0.047619
train_0087,201,71,52,0.732394,10,0.140845,10,0.140845,0.000000
train_0088,50,113,79,0.699115,31,0.274336,29,0.256637,-0.017699
train_0089,63,22,22,1.000000,6,0.272727,5,0.227273,-0.045455
train_0090,115,85,69,0.811765,27,0.317647,25,0.294118,-0.023529
train_0091,25,9,8,0.888889,1,0.111111,1,0.111111,0.000000
train_0092,32,81,62,0.765432,24,0.296296,20,0.246914,-0.049383
train_0093,23,34,32,0.941176,8,0.235294,8,0.235294,0.000000
train_0094,69,21,18,0.857143,1,0.047619,0,0.000000,-0.047619
